"","1_occultism","2_tarot","3_astral_light","Other_1","Other_2","Other_3","Other_4","Other_5","Other_6","Other_7","Other_8","Other_9","Other_10","Other_11","Other_12","Other_13","Other_14","Other_15","Other_16","Other_17","Other_18","Other_19","Other_20","Other_21","Other_22","Other_23","Other_24","Other_25","Other_26","Other_27","Other_28","Other_29","Other_30","Other_31","Other_32","Other_33","Other_34","Other_35","Other_36","Other_37","Other_38","Other_39","Other_40","Other_41","Other_42","Other_43","Other_44","Other_45","Other_46"
"1","kabbalah","tarot","astral.light","unborn.child","great.work","own.part","young.man","tarot","own.part","great.work","same.time","holy.spirit","same.time","dead.person","true.religion","black.magic","two.pillars","three.person","precious.stone","incarnation","golden.fleece","nervous.disease","tree.of.life","one.thing","spirit.of.charity","human.life","son.of.god","tradition","old.serpent","little.finger","tradition","law.of.nature","four.beasts","one.day","plastic.medium","universal.medicine","incarnation","great.work","tradition","magical.rod","word.of.god","holy.spirit","kabbalah","spiritualism","tradition","grand.master","black.magic","first.matter","black.magic"
"2","occult.science","kabbalah","universal.agent","black.magic","philosophical.stone","kabbalah","middle.ag","tradition","madame.de","magical.operation","joan.of.arc","human.body","three.worlds","old.man","form.of.worship","other.hand","point.of.view","whole.world","old.world","spirit.of.charity","elementary.force","such.case","analogy.of.contrary","philosophical.stone","vincent.de","same.time","tree.of.knowledge","jesus.christ","great.work","tradition","first.place","middle.ag","four.star","kingdom.of.heaven","last.word","free.judge","moral.sense","golden.fleece","later.period","idle.word","creative.word","human.soul","sacerdotal.art","magnetic.current","tarot","goat.of.mende","tradition","sacred.number","one.side"
"3","tradition","first.card","nervous.system","order.of.nature","universal.medicine","same.time","human.flesh","eternal.life","history.of.magic","tradition","tradition","one.side","great.arcanum","one.day","single.man","kabbalah","free.will","supreme.reason","tarot","other.word","angel.of.light","entire.world","own.part","good.faith","unity.of.god","law.of.nature","old.book","universal.equilibrium","grand.hierophant","great.deal","three.word","human.mind","same.hour","human.race","great.work","magical.ceremony","last.judgment","violent.death","absolute.affirmation","force.of.nature","other.hand","blazing.star","royal.art","great.man","final.word","own.day","sovereign.pontiff","great.master","great.initiator"
"4","alchemy","minor.arcana","astral.body","impure.spirit","perpetual.motion","first.time","old.temple","universal.equilibrium","middle.ag","occult.power","public.opinion","school.of.alexandria","right.hand","universal.harmony","universal.church","sovereign.pontiff","good.sense","one.god","clavicle.of.solomon","one.day","eternal.thought","single.figure","wise.man","act.of.faith","three.person","tradition","one.side","hugh.de","dead.rise","law.of.nature","elementary.form","human.soul","numerical.value","first.part","fatal.law","one.day","old.age","hermetic.science","hieroglyphic.meaning","divine.name","many.other","idea.of.god","human.being","second.time","universal.reason","other.word","high.priest","transcendent.magic","astral.light"
"5","occultism","major.arcana","same.time","one.blow","supreme.reason","great.number","black.magic","two.paths","one.day","unique.force","great.soul","first.order","fabre.d.olivet","first.series","false.religion","mystery.of.indion","temporal.power","holy.thing","true.adept","religious.dogma","albertus.magnus","transcendental.knowledge","kabbalah","old.man","good.faith","first.cause","same.moment","force.of.nature","philosophical.stone","spirit.of.darkness","same.time","article.of.faith","extraordinary.fact","old.serpent","magical.initiation","one.hand","long.time","human.genius","X78.card","breath.of.life","word.of.truth","dogma.of.herme","magical.work","long.time","human.head","black.magic","transcendental.magic","one.day","other.hand"
"6","astrology","four.letter","magical.agent","black.cat","great.arcanum","three.term","five.day","universal.light","one.word","veritable.adept","natural.force","middle.ag","great.secret","certain.case","great.thing","occult.masonry","whole.life","council.of.trent","young.girl","jesus.christ","great.law","book.of.enoch","same.order","creative.force","direct.communication","public.opinion","tradition","good.faith","black.magic","nine.day","ancient.initiation","moral.force","prophecy.of.ezekiel","sacred.fire","golden.ass","thirteenth.chapter","apparent.death","young.man","school.of.alexandria","spirit.of.light","science.of.nature","precious.stone","great.event","jean.jacque","holy.ghost","key.of.basil","false.gnostic","magical.ritual","own.part"
"7","great.arcanum","point.of.view","second.sight","wild.boar","transmutation.of.metals","magical.work","five.year","king.of.france","hand.of.god","natural.science","practical.magician","two.triangles","supernatural.world","true.initiate","divine.love","right.angles","magic.of.light","holy.spirit","secret.society","kingdom.of.heaven","holy.book","universal.kingdom","first.day","spirit.of.perversity","false.gnostic","great.work","first.time","astral.light","blind.force","great.initiator","present.day","object.of.faith","seven.seal","good.work","ass.of.apuleius","holy.water","five.year","abbe.charvoz","antique.initiation","great.work","spirit.of.christ","one.day","magical.secret","two.child","universal.empire","great.work","jesus.christ","many.century","little.albert"
"8","same.time","kabbalistic.alphabet","occult.medicine","old.woman","magical.arcanum","sacred.book","child.of.israel","three.septenary","middle.age","own.time","spirit.of.truth","material.world","last.century","first.term","human.body","opposite.direction","history.of.magic","philosophical.cross","high.priest","great.kabbalist","great.epic","point.of.view","first.time","professor.of.magic","native.land","secondary.cause","human.head","same.law","black.god","grand.hierophant","four.element","genius.of.evil","whole.edifice","two.child","human.body","one.night","destroyer.of.child","venomous.magic","st.john","such.man","intellectual.world","eternal.wisdom","god.of.light","spilling.of.blood","universal.law","short.time","incarnation","occultism","two.woman"
"9","common.people","book.of.thoth","kabbalah","empire.of.reason","cubic.stone","secret.of.nature","first.step","good.work","twelve.year","one.find","eighteenth.century","black.magic","one.point","kabbalah","second.sight","kabbalistic.sign","maker.of.chronicle","moral.life","saint..germain","life.of.god","magical.doctrine","sacred.symbol","force.of.nature","human.mind","great.light","eternal.law","elementary.spirit","queen.of.heaven","eternal.fire","astral.light","three.letter","incarnation","gate.of.thebe","real.presence","good.faith","second.time","middle.ag","whole.world","human.soul","ancient.mystery","science.of.equilibrium","absolute.reason","whole.earth","law.of.equilibrium","magical.calendar","middle.age","true.religion","human.form","other.side"
"10","st.john","one.hand","other.word","magical.equilibrium","true.magician","perfect.word","black.torch","great.man","perfect.image","white.light","middle.ag","human.figure","transcendental.science","great.arcanum","christian.world","two.crescent","crescent.moon","highest.reason","thirty.year","same.time","human.life","human.being","kingdom.of.heaven","law.of.analogy","image.of.god","few.word","little.while","analogy.of.opposite","three.magi","black.magic","nervous.system","mere.word","sacred.book","word.of.man","mortal.life","sacred.fire","universal.medicine","one.day","absolute.negation","principle.of.motion","school.of.alexandria","elementary.form","seven.planets","civil.war","calendar.of.tycho","cubic.stone","mother.of.god","high.priest","magical.doctrine"
"11","absolute.truth","universal.key","same.way","absolute.liberty","first.matter","point.of.departure","human.face","new.world","first.manifestation","ceremonial.magic","human.face","double.triangle","hieroglyphic.meaning","later.period","man.of.genius","young.girl","middle.finger","universal.revelation","treatise.on.dream","unity.of.god","human.destiny","nun.of.louvier","finite.god","human.passion","order.of.thing","magnetic.current","old.temple","same.thing","three.part","fall.from.heaven","man.of.genius","magical.initiation","terrible.word","word.of.god","common.sense","magical.science","perpetual.motion","universal.analogy","three.time","absolute.reason","two.principles","human.race","seven.colour","french.revolution","virtuous.man","twelve.key","true.adept","absolute.idea","law.of.nature"
"12","true.science","four.figure","vital.light","relative.necessity","eternal.life","movement.of.life","secret.instruction","one.day","several.month","first.time","human.justice","X1.degree","kabbalah","own.blood","absolute.science","such.condition","middle.ag","positive.pole","true.religion","human.wisdom","second.part","other.person","work.of.god","emerald.tablet","hour.of.apollonius","magical.tradition","antique.initiation","empty.chalice","public.opinion","human.voice","secret.doctrine","ancient.magi","four.wind","generative.organ","drunken.man","right.of.life","admirable.symbol","essential.law","human.intelligence","good.work","essential.light","blind.man","twelve.sign","american.spiritualism","supreme.reason","little.child","certain.person","real.life","son.of.man"
"13","temple.of.solomon","great.work","wise.man","power.of.religion","universal.life","seal.of.solomon","human.bone","other.star","eighteenth.century","real.science","last.word","X2.degree","future.event","former.time","conquest.of.science","son.of.god","vital.force","occult.science","fluidic.form","true.religion","last.war","diabolical.obsession","catholic.religion","wand.of.circe","indefinite.progress","hysterical.woman","two.word","same.time","human.life","great.fire","magical.tradition","false.gods","incarnation","four.rivers","instrument.of.precision","magical.element","two.affirmation","true.doctrine","harmoney.of.nature","occult.force","world.of.spirit","young.man","simple.letter","direct.writing","other.man","occult.philosophy","great.hierophant","kabbalah","thing.of.faith"
"14","holy.kabbalah","sacred.word","two.force","name.of.science","sidereal.body","small.number","human.fat","full.moon","three.part","universal.equilibrium","noble.daughter","X3.degree","magical.doctrine","third.day","human.power","violent.blow","name.of.god","human.mind","magical.work","fundamental.dogma","absolute.truth","ursuline.of.loudun","harmony.result","immutable.law","world.of.spirit","eighteenth.century","kabbalistic.book","old.serpent","occult.sciences","physical.life","white.resin","two.term","three.order","cold.breathing","magical.epic","elementary.spirit","key.of.prophecy","spirit.of.evil","four.rivers","cardinal.richelieu","great.magic","kabbalah","wise.man","mysterious.knocking","royal.sceptre","master.in.alchemy","catholic.church","same.reason","moral.disorder"
"15","powder.of.projection","same.way","magical.power","sick.man","same.order","grand.secret","single.word","seven.seal","own.day","human.passion","secret.of.science","supreme.reason","later.period","do.potet","spirit.of.charity","horrible.rite","whole.world","great.work","violent.death","good.sense","four.element","unfortunate.priest","key.of.number","phenomena.of.nature","human.intelligence","second.death","whole.world","great.secret","own.tail","host.of.vintra","last.night","own.shadow","intelligible.world","cold.insufflation","such.time","great.man","great.man","old.priest","sun.of.truth","extreme.unction","magnetic.fluid","branch.of.knowledge","first.time","old.world","book.of.mose","absolute.sign","king.of.king","unhappy.man","great.care"
"16","hermetic.philosophy","hieroglyphic.sign","one.hand","wand.of.mose","same.manner","two.thing","first.place","universal.science","universal.religion","whole.world","right.hand","other.side","winged.dragon","due.course","vincent.de","indian.lingam","first.part","two.force","thousand.time","two.power","exact.proportion","noble.family","earthly.paradise","little.child","image.of.person","human.being","one.day","thousand.time","will.of.man","horizontal.line","own.accord","very.law","same.way","earthly.paradise","universal.philosophy","astral.light","pleasure.of.life","third.term","primitive.church","blind.faith","good.sense","trigram.of.fohi","two.word","indefinite.progress","new.jerusalem","elixir.of.life","name.of.honorius","law.of.creation","certain.sense"
"17","elder.world","universal.science","black.magic","science.of.light","material.life","ceremonial.magic","art.of.divination","great.secret","nervous.system","other.time","symbolical.figure","human.science","hieroglyphic.sign","same.rule","branch.of.acacia","wrong.path","marie.antoinette","first.time","free.judge","spiritual.power","ancient.world","present.year","eternal.destruction","one.substance","certain.soul","universal.life","sin.of.adam","natural.force","most.part","last.time","occult.philosophy","eternal.death","nervous.system","light.of.day","true.science","three.time","frightful.convulsion","william.postel","progressive.initiation","physical.law","absolute.science","three.person","tarot","human.being","great.empire","sovereign.power","true.science","game.of.chess","essential.law"
"18","transcendental.magic","two.letter","elementary.spirit","vapour.of.blood","alchemy","apocalypse.of.st","mysterious.letter","sacred.ladder","discernment.of.spirit","hermetic.philosophy","contagious.malady","horizontal.line","philosophical.mercury","fourth.term","characteristic.of.charity","last.term","other.occupations","blind.fatality","seven.star","temporal.power","genesis.of.light","four.year","upper.right","universal.science","golden.chain","divine.name","fire.from.heaven","human.blood","universal.harmony","magical.science","great.crime","natural.religion","magical.book","middle.point","secret.of.nature","catholic.priest","astral.life","absolute.doctrine","horizontal.diameter","exact.proportion","modern.time","magical.dogma","human.body","true.adept","child.of.god","universal.force","two.triangles","mrespect.home","two.class"
"19","one.dogma","sacred.alphabet","material.body","such.phenomena","same.secret","apollonius.of.tyana","own.land","kabbalistic.book","human.will","pure.gold","old.sanctuary","divine.world","one.end","second.series","eighteenth.century","supreme.reason","name.of.magic","mother.of.god","old.man","oriental.initiation","pure.love","own.part","white.disks","such.person","real.presence","analogy.of.nature","other.voice","own.part","great.prophet","universal.life","magical.power","sole.dogma","great.hierophant","X10.card","magnetic.fluid","young.girl","evil.action","secret.sciences","hand.of.man","great.word","absolute.justice","universal.dogma","black.magic","such.people","child.of.woman","seven.metals","sublime.hope","first.sight","two.man"
"20","two.force","four.colour","universal.analogy","strange.revelation","two.pillars","inflexible.will","one.case","astral.body","very.essence","imperious.voice","point.of.death","light.of.truth","mystical.figure","one.world","universal.philosophy","active.force","right.hand","second.advent","other.world","eternal.mathematics","two.manners","seven.angels","real.power","two.other","many.person","whole.of.nature","lower.point","harmony.result","serpent.of.genesis","maker.of.legend","great.revealer","human.body","curious.treatise","first.page","magical.chain","various.colour","free.spirit","seven.genii","same.time","magical.work","moral.evil","incarnation","religious.dogma","whole.world","new.dogma","gnostic.school","physical.means","sole.end","jesus.christ"
"21","indispensable.condition","oswald.wirth","law.of.equilibrium","secular.arm","tarot","such.case","black.poppy","two.tarot","apostate.priest","many.colour","perfect.man","true.love","infernal.serpent","st.paul","one.truth","one.side","rock.of.sisyphus","great.man","imperial.library","science.of.light","many.year","high.fantasy","tradition","same.manner","word.of.faith","two.thing","animal.into.man","incarnate.word","same.word","first.place","three.principles","idea.of.god","great.bear","entire.head","absolute.independence","lord.command","ridiculous.practice","later.period","great.arcanum","christian.world","pure.spirit","same.reason","man.of.science","material.interest","successor.of.peter","sign.of.recognition","fatal.law","supreme.law","essential.condition"
"22","one.hand","sacred.book","tarot","science.of.divination","absolute.reason","two.point","little.one","fifty.gate","little.time","quantity.of.matter","magical.secret","wheel.of.ezekiel","one.pole","moral.order","one.reason","visible.nature","astrological.operation","individual.life","nocturnal.assemblie","exact.sciences","old.initiation","period.of.year","palmary.question","absolute.confidence","profession.of.faith","law.of.initiation","great.crime","power.of.god","true.name","two.child","three.term","highest.reason","century.of.existence","same.reason","whole.world","star.of.solomon","ocular.witness","own.tail","true.secret","eternal.reason","visible.world","astral.light","dead.body","high.place","four.letter","own.image","man.of.science","very.order","force.of.nature"
"23","point.of.view","three.worlds","own.day","atmospheric.influence","fatal.influence","own.country","true.priest","transcendental.sciences","philosophy.of.history","different.thickness","own.opinion","four.limb","old.manuscript","sidereal.body","single.dogma","manifestation.of.god","good.example","common.reservoir","ancient.tarot","occult.philosophy","blind.obedience","true.catholic","formidable.secret","absolute.law","wild.beasts","sole.dogma","knowledge.of.good","patriarch.of.constantinople","occult.philosophy","human.intelligence","cardinal.point","past.life","ancient.of.day","fluidic.manifestation","first.part","low.voice","own.image","magical.sciences","monstrous.absurdity","fatal.influence","action.of.fire","two.foot","human.genius","great.one","two.force","great.arcanum","human.sacrifice","secret.rite","blind.force"
"24","active.principle","cardinal.point","ether","st..thoma","henry.khunrath","physical.world","such.manner","unfortunate.emperor","great.mystery","two.part","human.body","wheel.of.fortune","middle.ag","true.adept","apocalypse.of.st","grand.hierophant","good.taste","one.religion","eternal.youth","domain.of.intelligence","mystery.of.dogma","man.of.learning","fatal.science","young.man","other.end","universal.law","tree.of.life","several.person","lyre.of.orpheus","absolute.power","four.ordeal","contrary.movement","new.christ","one.time","one.day","guilty.person","history.of.magic","moral.order","tarot","effect.of.bewitchment","tree.of.life","source.of.life","bad.faith","astral.current","being.of.being","work.of.science","human.blood","great.book","highest.reason"
"25","passive.principle","key.of.solomon","universal.life","charge.of.magic","elixir.of.life","seven.seal","good.health","banquet.of.trimalcyon","sacred.vessel","ancient.sage","own.centre","work.of.destruction","secret.of.wealth","same.experiment","other.man","seven.spirit","third.section","few.year","creative.principle","christian.sacerdotalism","X_sepher.yetzirah","three.year","science.of.good","drop.of.blood","universal.revelation","magical.agent","secret.book","later.period","human.heart","sentence.of.death","astral.light","two.sex","vault.of.heaven","same.cause","instrument.of.divination","abominable.practice","certain.sign","prodigal.son","disciple.of.zoroaster","kabbalistic.rabbin","uncreated.light","infinite.love","one.white","serious.man","intellectual.light","occult.masonry","natural.magic","occult.sciences","altar.against.altar"
"26","first.principle","primitive.alphabet","strange.phenomena","great.epoch","human.liberty","occult.science","time.to.time","great.success","royal.table","true.science","same.point","profanation.of.science","three.septenary","real.death","end.of.time","whole.world","ancient.israel","great.serpent","human.mind","single.word","first.empire","later.date","supreme.reason","common.wealth","object.of.faith","three.word","chief.figure","own.day","alexandrian.school","free.man","many.case","man.of.science","barbarous.name","material.body","chance.of.destiny","bloody.sacrifice","harmony.of.form","magical.science","material.element","kabbalistic.meaning","mysterious.language","modern.time","transcendent.science","several.year","great.writer","seal.of.solomon","one.step","essential.condition","thing.of.science"
"27","sacred.word","two.figure","universal.movement","blind.believer","basis.of.faith","old.world","monstrous.birth","rich.man","perfect.accord","force.of.nature","great.criminal","universal.generation","transcendent.magic","such.being","temple.of.unity","terrible.breath","very.name","one.faith","official.church","christian.revelation","people.of.god","high.magic","sixteenth.century","unknown.power","open.sea","contrary.force","deadly.fruit","occult.force","known.world","fresh.air","uninitiated.person","light.of.god","cave.of.trophonius","frightful.plague","contrary.sense","magical.sword","henri.delaage","astral.fluid","other.person","eternal.equilibrium","intelligible.world","inner.side","seven.note","revolutionary.tribunal","revelation.of.god","elementary.world","true.magus","magical.word","magical.work"
"28","key.of.solomon","same.symbol","astral.intoxication","very.moment","philosophical.gold","universal.medicine","same.thing","harmoney.of.nature","own.age","central.point","androgyne.figure","absolute.being","king.of.thebe","calculus.of.probability","direct.ray","certain.point","one.evening","one.law","face.to.face","god.in.man","ancient.greece","X24th.of.february","occult.sciences","doctrine.of.herme","association.of.man","magical.equilibrium","doctrine.of.christ","holy.city","universal.doctrine","butterfly.of.psyche","high.initiation","man.of.intelligence","frightful.dream","small.number","left.hand","three.day","unrecognised.thaumaturgist","other.material","celestial.hierarchy","magical.ceremony","divine.world","two.arm","new.revelation","cup.of.libation","one.hand","magical.preoccupation","lawful.hierarchy","law.of.nature","doctrine.of.analogy"
"29","other.hand","sacred.name","american.medium","tomb.of.hiram","master.in.israel","holy.spirit","terrestrial.mercury","great.prophet","thy.action","initial.chapter","whole.world","X4.degree","terrible.secret","sentence.of.death","permanent.revelation","natural.effect","whole.night","diverse.manifestation","X1.vau","two.word","great.cry","philosophy.of.history","secret.of.nature","own.eye","city.of.initiation","eternal.reason","personal.opinion","apparent.opposition","great.crime","highest.degree","several.day","priestly.art","hair.on.end","work.of.god","religious.form","golden.letter","spirit.of.intelligence","creative.law","human.hierarchy","secret.thought","central.sun","number.of.god","three.dot","same.law","ancient.mystery","human.intelligence","hierarchic.principle","two.sphinx","effort.of.will"
"30","first.place","two.key","polar.bear","normal.man","occult.philosophy","transcendent.kabbalah","false.adept","more.fear","rest.of.mankind","fatal.law","white.garment","principle.of.intelligence","masonic.associations","grand.grimoire","human.faculty","same.law","mental.alienation","other.letter","two.word","sovereign.pontiff","same.period","X354.year","eternal.life","material.world","pure.man","great.criminal","two.serpent","small.number","final.principle","transcendental.magic","few.day","law.of.equilibrium","circular.precinct","shadow.of.death","perfect.adept","secret.tribunal","vigour.of.youth","occult.sanctuary","approximate.consequence","number.of.woman","visible.form","hieroglyphical.sign","holy.cross","orphic.initiation","mother.of.abel","black.god","worker.of.miracle","deadly.sins","heart.of.man"
"31","absolute.science","four.corner","great.secret","heart.of.stone","doctrine.of.herme","first.book","sacred.element","common.sense","good.man","magnetic.chain","close.eye","miraculous.host","divine.word","loud.voice","great.man","lower.part","initial.letter","negative.pole","first.substance","occult.versicle","new.race","state.of.thing","mother.of.god","opposite.direction","true.priesthood","human.passion","sheet.of.paper","magnetic.sleep","relative.value","most.savage","central.fire","holy.image","bear.witness","entire.life","solid.body","holy.vehm","strong.drink","great.prophet","conception.of.god","metallic.transmutation","dogma.of.herme","absolute.being","most.mighty","synthetic.knowledge","other.hold","first.point","sacred.science","mysterious.sign","interior.light"
"32","great.master","italian.tarot","astral.fluid","public.opinion","whole.edifice","human.omnipotence","honorius.iii","little.wine","poor.creature","skilful.magnetiser","such.being","ammonius.sacca","being.of.being","possibility.of.resurrection","grand.master","several.time","oriental.language","daughter.of.god","secret.doctrine","same.way","sound.of.horn","reign.of.michael","three.world","great.man","supreme.power","electric.current","same.result","true.sage","chain.of.analogy","diabolical.signature","natural.secret","same.word","single.personality","life.of.man","word.of.magic","first.order","perverse.man","matter.of.experience","triple.hecate","idle.speech","certain.man","two.roads","infinite.space","martyrdom.of.st","domain.of.idea","secret.society","old.copy","symbolical.summary","magnetic.chain"
"33","ancient.world","transcendental.magic","other.cause","eevolution.of.soul","great.agent","traditional.science","order.of.st","perfect.harmony","free.woman","mantle.of.apollonius","wild.beast","wise.man","transcendent.sciences","materialistic.science","natural.affinity","mystery.of.life","rosy.cross","spirit.into.matter","like.manner","phenomena.of.magnetism","principle.of.life","twenty.year","eternal.name","angel.of.light","daughter.of.cadmus","sudden.death","dear.sir","magnetic.phenomena","fifth.chapter","own.accord","invisible.chain","discoveries.of.science","one.morning","eternal.hope","country.of.enchantment","four.element","corrupt.world","pantacle.of.pythagora","great.mind","creature.of.air","natural.form","third.principle","golden.age","human.knowledge","type.of.cain","two.pillar","physical.deformity","two.property","physical.malady"
"34","absolute.philosophy","X2nd.septenary","magnetic.pass","mystery.of.magic","own.creation","relative.omnipotence","superstitious.people","third.quarter","social.order","lamp.of.trismegistus","ancient.world","great.arcanum","secret.of.magic","fact.of.resurrection","present.stupidity","magic.of.light","seventeenth.century","faithful.believer","certain.circle","two.sex","universal.dissolvant","certain.way","perfection.of.form","angel.of.progress","historical.document","nun.of.louvier","harmoney.of.nature","same.sign","practical.result","young.prince","occult.element","twelve.hour","ten.year","phantom.of.death","mirror.of.dupotet","sign.of.life","rapid.glance","coffer.of.osiris","father.to.son","altar.of.perfume","rural.place","goat.of.mende","grand.hierophant","king.of.france","prodigal.son","reasonable.faith","actual.fact","rational.order","great.criminal"
"35","real.power","kabbalistic.key","first.place","magical.science","work.of.science","third.time","other.furniture","early.stage","great.cry","magical.chain","daughter.of.heaven","first.principle","odd.number","perfect.circle","supreme.intelligence","four.pillar","thing.of.religion","one.dream","universal.analogy","two.kind","divine.ideal","mysterious.hand","degree.of.realisation","great.criminal","sole.word","death.of.charle","grand.grimoire","certain.substance","mortal.sin","deal.of.money","such.creature","ancient.hierophant","thine.existence","breast.of.god","true.initiate","one.side","theosophic.addition","extraordinary.power","whole.series","tripod.of.evocation","amorous.passion","second.time","astrology","true.initiation","human.word","cubic.form","catherine.théot","like.manner","young.woman"
